Season,Name,Column,Status
1,Charlie,0,none
2,Matthew,0,none
2,Harold,1,none
2,Rick,2,none
2,Ian,3,none
2,Chad,4,none
2,Ian,5,none
2,Matthew,6,none
2,Ian,7,the contestant won the competition
2,Rick,0,none
2,Todd,1,none
2,Todd,2,none
2,Sean,3,none
2,Ian,4,none
2,Matthew,5,none
2,Ian,6,none
2,Matthew,7,the contestant was eliminated at the rose ceremony
2,Lanny,0,none
2,Marcus,1,none
2,Chad,2,none
2,Chad,3,none
2,Lanny,4,none
2,Chad,5,none
2,Chad,6,the contestant was eliminated at the rose ceremony
2,Justin,0,none
2,Brad,1,none
2,Brad,2,none
2,Ryan M.,3,none
2,Matthew,4,none
2,Lanny,5,the contestant was eliminated at the rose ceremony
2,Sean,0,none
2,Ryan M.,1,none
2,Sean,2,none
2,Brad,3,none
2,Brad,4,the contestant was eliminated at the rose ceremony
2,Ryan M.,4,the contestant was eliminated at the rose ceremony
2,Sean,4,the contestant was eliminated at the rose ceremony
2,Ryan R.,0,none
2,Ian,1,none
2,Lanny,2,none
2,Matthew,3,none
2,Brian,0,none
2,Chad,1,none
2,Ryan R.,2,none
2,Lanny,3,none
2,Damon,0,none
2,Lanny,1,none
2,Matthew,2,none
2,Rick,3,the contestant was eliminated at the rose ceremony
2,Ryan R.,3,the contestant was eliminated at the rose ceremony
2,Todd,3,the contestant was eliminated at the rose ceremony
2,Keith,0,none
2,Robert,1,none
2,Ian,2,none
2,Cory,0,none
2,Sean,1,none
2,Ryan M.,2,none
2,Chad,0,none
2,Ryan R.,1,none
2,Damon,2,the contestant was eliminated at the rose ceremony
2,Eliot,2,the contestant was eliminated at the rose ceremony
2,Harold,2,the contestant was eliminated at the rose ceremony
2,Marcus,2,the contestant was eliminated at the rose ceremony
2,Robert,2,the contestant was eliminated at the rose ceremony
2,Andy,0,none
2,Damon,1,none
2,Todd,0,none
2,Eliot,1,none
2,Eliot,0,none
2,Matthew,1,none
2,Aaron,0,none
2,Rick,1,Unknown status (FFE4E1)
2,Marcus,0,none
2,Aaron,1,the contestant was eliminated at the rose ceremony
2,Andy,1,the contestant was eliminated at the rose ceremony
2,Anselm,1,the contestant was eliminated at the rose ceremony
2,Brian,1,the contestant was eliminated at the rose ceremony
2,Chris,1,the contestant was eliminated at the rose ceremony
2,Cory,1,the contestant was eliminated at the rose ceremony
2,Jeff,1,the contestant was eliminated at the rose ceremony
2,Justin,1,the contestant was eliminated at the rose ceremony
2,Keith,1,the contestant was eliminated at the rose ceremony
2,Trever,1,the contestant was eliminated at the rose ceremony
2,Harold,0,none
2,Jeff,0,none
2,Chris,0,none
2,Brad,0,none
2,Robert,0,none
2,Trever,0,none
2,Anselm,0,none
2,Ryan M.,0,none
2,Ian,0,none
3,Ryan Sh,0,none
3,Keith,1,the contestant received the first impression rose
3,Wendell,2,none
3,John Paul,3,none
3,Ryan Sh,4,none
3,John Paul,5,none
3,John Paul,6,none
3,Jerry,7,the contestant won the competition
3,Eric T,0,none
3,Ryan Sh,1,none
3,Fabrice,2,none
3,Jerry,3,none
3,Jerry,4,none
3,Jerry,5,none
3,Jerry,6,none
3,John Paul,7,the contestant was eliminated at the rose ceremony
3,Chris C,0,none
3,A.W.,1,none
3,Ben,2,none
3,Ryan Sh,3,none
3,Wendell,4,none
3,Ryan Sh,5,none
3,Ryan Sh,6,the contestant was eliminated at the rose ceremony
3,Jason,0,none
3,Matt M,1,none
3,Keith,2,none
3,Ben,3,none
3,John Paul,4,none
3,Wendell,5,the contestant was eliminated at the rose ceremony
3,Ryan Sm,0,none
3,Wendell,1,none
3,Ryan Sh,2,none
3,Wendell,3,none
3,Ben,4,the contestant was eliminated at the rose ceremony
3,John Paul,0,none
3,Ryan Sm,1,none
3,Jerry,2,none
3,Fabrice,3,none
3,Fabrice,4,the contestant quit the competition
3,Stu,0,none
3,Mark,1,none
3,John Paul,2,none
3,Josh,3,the contestant was eliminated at the rose ceremony
3,Keith,3,the contestant was eliminated at the rose ceremony
3,Matt M,0,none
3,Ben,1,none
3,Josh,2,none
3,Keith,0,none
3,John Paul,1,none
3,A.W.,2,the contestant was eliminated at the rose ceremony
3,Jason,2,the contestant was eliminated at the rose ceremony
3,Mark,2,the contestant was eliminated at the rose ceremony
3,Matt M,2,the contestant was eliminated at the rose ceremony
3,Michael,2,the contestant was eliminated at the rose ceremony
3,Ryan Sm,2,the contestant was eliminated at the rose ceremony
3,Stu,2,the contestant was eliminated at the rose ceremony
3,Andy,0,none
3,Jerry,1,none
3,Michael,0,none
3,Jason,1,none
3,Kevin,0,none
3,Josh,1,none
3,David,0,none
3,Fabrice,1,none
3,Chris,0,none
3,Michael,1,none
3,Fabrice,0,none
3,Stu,1,none
3,Mark,0,none
3,Andrew,1,the contestant was eliminated at the rose ceremony
3,Andy,1,the contestant was eliminated at the rose ceremony
3,Chris C,1,the contestant was eliminated at the rose ceremony
3,Chris M,1,the contestant was eliminated at the rose ceremony
3,Collin,1,the contestant was eliminated at the rose ceremony
3,David,1,the contestant was eliminated at the rose ceremony
3,Eric H,1,the contestant was eliminated at the rose ceremony
3,Eric T,1,the contestant was eliminated at the rose ceremony
3,Kevin,1,the contestant was eliminated at the rose ceremony
3,Matt L,1,the contestant was eliminated at the rose ceremony
3,Josh,0,none
3,Eric H,0,none
3,Wendell,0,none
3,Andrew,0,none
3,Ben,0,none
3,Collin,0,none
3,A.W.,0,none
3,Matt L,0,none
3,Jerry,0,none
4,Brian,0,none
4,Jeremy,1,the contestant received a first impression rose
4,Paul,2,the contestant received a rose during the date
4,Robert,3,the contestant received a rose during the date
4,Jesse,4,the contestant received a rose during the date
4,Jeremy,5,none
4,Jesse,6,none
4,Jesse,7,none
4,Jesse,8,the contestant won the competition
4,Paul,0,none
4,Jesse,1,the contestant received a first impression rose
4,Graham,2,the contestant received a rose during the date
4,Jason,3,the contestant received a rose during the date
4,Sean,4,the contestant received a rose during the date
4,Jason,5,none
4,Jeremy,6,none
4,Jason,7,none
4,Jason,8,the contestant was eliminated
4,Graham,0,none
4,Richard,1,the contestant received a first impression rose
4,Jeremy,2,the contestant received a rose during the date
4,Fred,3,the contestant received a rose during the date
4,Jason,4,none
4,Graham,5,none
4,Jason,6,none
4,Jeremy,7,the contestant was eliminated
4,Sean,0,none
4,Ronald,1,none
4,Ronald,2,none
4,Twiley,3,none
4,Jeremy,4,none
4,Jesse,5,none
4,Graham,6,the contestant was eliminated
4,Richard,0,none
4,Graham,1,none
4,Jesse,2,none
4,Jesse,3,none
4,Twiley,4,none
4,Sean,5,the contestant was eliminated
4,Twiley,5,the contestant was eliminated
4,Jason,0,none
4,Eric,1,none
4,Robert,2,none
4,Jeremy,3,none
4,Graham,4,none
4,Spero,0,none
4,Robert,1,none
4,Brian,2,none
4,Brian,3,none
4,Brian,4,the contestant was eliminated
4,Jesse,0,none
4,Sean,1,none
4,Jason,2,none
4,Graham,3,none
4,Fred,4,the contestant was eliminated during the date
4,John,0,none
4,Ryan,1,none
4,Fred,2,none
4,Sean,3,none
4,Robert,4,the contestant was eliminated during the date
4,Chris,0,none
4,Chris,1,none
4,Sean,2,none
4,Paul,3,the contestant was eliminated
4,Ronald,3,the contestant was eliminated
4,Brian,0,none
4,Paul,1,none
4,Richard,2,none
4,Jeffrey,0,none
4,Fred,1,none
4,Twiley,2,none
4,Richard,3,the contestant was eliminated during the date
4,Donato,0,none
4,Twiley,1,none
4,Chris,2,the contestant was eliminated
4,Eric,2,the contestant was eliminated
4,Ryan,2,the contestant was eliminated
4,Ryan,0,none
4,Jason,1,none
4,Twiley,0,none
4,Brian,1,none
4,Ronald,0,none
4,Brian,1,the contestant was eliminated
4,Chandler,1,the contestant was eliminated
4,Donato,1,the contestant was eliminated
4,Greg,1,the contestant was eliminated
4,Jeffrey,1,the contestant was eliminated
4,Jon,1,the contestant was eliminated
4,Luke,1,the contestant was eliminated
4,Patrick C.,1,the contestant was eliminated
4,Patrick D.,1,the contestant was eliminated
4,Spero,1,the contestant was eliminated
4,Patrick C.,0,none
4,Luke,0,none
4,Eric,0,none
4,Robert,0,none
4,Chandler,0,none
4,Greg,0,none
4,Fred,0,none
4,Patrick D.,0,none
4,Jeremy,0,none
5,Kiptyn,0,none
5,David,1,the contestant was given a first impression rose
5,Wes,2,the contestant received a rose during the date
5,Ed,3,the contestant received a rose during the date
5,Kiptyn,4,the contestant received a rose during the date
5,Michael,5,the contestant received a rose during the date
5,Kiptyn,6,the contestant received a rose during the date
5,Reid,7,none
5,Ed,8,none
5,Kiptyn,9,none
5,Ed,10,the contestant won the competition
5,Bryan,0,none
5,Jake,1,none
5,Jake,2,the contestant received a rose during the date
5,Robby,3,the contestant received a rose during the date
5,Jesse,4,the contestant received a rose during the date
5,Jesse,5,the contestant received a rose during the date
5,Reid,6,the contestant received a rose during the date
5,Kiptyn,7,none
5,Reid,8,none
5,Ed,9,none
5,Kiptyn,10,the contestant was eliminated
5,John P.,0,none
5,Jesse,1,none
5,Mike,2,the contestant received a rose during the date
5,Jake,3,none
5,Mark,4,the contestant received a rose during the date
5,Reid,5,none
5,Jesse,6,none
5,Ed,7,none
5,Kiptyn,8,none
5,Reid,9,the contestant was eliminated
5,Brian,0,none
5,Wes,1,none
5,Juan,2,the contestant was voted off by the other contestants but got a rose instead
5,Reid,3,none
5,Reid,4,none
5,Kiptyn,5,none
5,Wes,6,none
5,Wes,7,none
5,Wes,8,the contestant was eliminated
5,Jake,0,none
5,Mathue,1,none
5,Jesse,2,none
5,Mark,3,none
5,Robby,4,none
5,Robby,5,none
5,Michael,6,none
5,Jesse,7,the contestant was eliminated
5,Michael,7,the contestant was eliminated
5,David,0,none
5,Michael,1,none
5,David,2,none
5,Jesse,3,none
5,Ed,4,none
5,Jake,5,none
5,Jake,6,the contestant was eliminated
5,Tanner P.,6,the contestant was eliminated
5,Tanner F.,0,none
5,Robby,1,none
5,Ed,2,none
5,Tanner P.,3,none
5,Michael,4,none
5,Tanner P.,5,none
5,Michael,0,none
5,Ed,1,none
5,Sasha,2,none
5,Wes,3,none
5,Wes,4,none
5,Wes,5,none
5,Robby,6,the contestant was eliminated during the date
5,Robby,0,none
5,Reid,1,none
5,Mark,2,none
5,Juan,3,none
5,Jake,4,none
5,Mark,5,the contestant was eliminated
5,John H.,0,none
5,Simon,1,none
5,Michael,2,none
5,Michael,3,none
5,Tanner P.,4,none
5,Ed,5,the contestant quit the competition
5,Sasha,0,none
5,Kiptyn,1,none
5,Tanner P.,2,none
5,Kiptyn,3,none
5,David,4,the contestant was eliminated
5,Juan,4,the contestant was eliminated
5,Brad,0,none
5,Mike,1,none
5,Kiptyn,2,none
5,Mike,3,none
5,Mathue,0,none
5,Brian,1,none
5,Reid,2,none
5,David,3,none
5,Mike,4,the contestant was eliminated during the date
5,Simon,0,none
5,Sasha,1,none
5,Robby,2,none
5,Brad,3,the contestant was eliminated
5,Tanner F.,3,the contestant was eliminated
5,Jesse,0,none
5,Julien,1,none
5,Tanner F.,2,none
5,Julien,0,none
5,Tanner P.,1,none
5,Brad,2,none
5,Sasha,3,the contestant was eliminated during the date
5,Wes,0,none
5,Mark,1,none
5,Brian,2,the contestant was eliminated
5,Julien,2,the contestant was eliminated
5,Mathue,2,the contestant was eliminated
5,Simon,2,the contestant was eliminated
5,Kyle,0,none
5,Brad,1,none
5,Adam,0,none
5,Tanner F.,1,none
5,Stephen,0,none
5,Juan,1,none
5,Juan,0,none
5,Adam,1,the contestant was eliminated
5,Bryan,1,the contestant was eliminated
5,Bryce,1,the contestant was eliminated
5,Caleb,1,the contestant was eliminated
5,Greg,1,the contestant was eliminated
5,John H.,1,the contestant was eliminated
5,John P.,1,the contestant was eliminated
5,Josh,1,the contestant was eliminated
5,Kyle,1,the contestant was eliminated
5,Stephen,1,the contestant was eliminated
5,Caleb,0,none
5,Josh,0,none
5,Greg,0,none
5,Mark,0,none
5,Ed,0,none
5,Bryce,0,none
5,Reid,0,none
5,Mike,0,none
5,Tanner P.,0,none
6,Chris H.,0,none
6,Roberto,1,none
6,Frank,2,none
6,Roberto,3,none
6,Chris L.,4,none
6,Kirk,5,none
6,Ty,6,none
6,Chris L.,7,none
6,Roberto,8,none
6,Chris L.,9,none
6,Roberto,9,none
6,Roberto,10,none
6,Jesse,0,none
6,Justin,1,none
6,Ty,2,none
6,Kirk,3,none
6,Kirk,4,none
6,Ty,5,none
6,Frank,6,none
6,Frank,7,none
6,Chris L.,8,none
6,Chris L.,9,none
6,Chris L.,0,none
6,Jesse,1,none
6,Jesse,2,none
6,Chris L.,3,none
6,Frank,4,none
6,Justin,5,none
6,Roberto,6,none
6,Roberto,7,none
6,Frank,8,none
6,Frank,9,none
6,Ty,0,none
6,Ty,1,none
6,Kasey,2,none
6,Jesse,3,none
6,Craig R.,4,none
6,Frank,5,none
6,Chris L.,6,none
6,Kirk,7,none
6,Kirk,8,none
6,Frank,0,none
6,Craig R.,1,none
6,Hunter,2,none
6,Chris N.,3,none
6,Chris N.,4,none
6,Chris L.,5,none
6,Kirk,6,none
6,Ty,7,none
6,Justin,0,none
6,Tyler V.,1,none
6,Roberto,2,none
6,Ty,3,none
6,Roberto,4,none
6,Roberto,5,none
6,Craig R.,6,none
6,Jay,0,none
6,Frank,1,none
6,Chris L.,2,none
6,Kasey,3,none
6,Justin,4,none
6,Craig R.,5,none
6,Justin,6,none
6,Evan,0,none
6,Steve,1,none
6,Justin,2,none
6,Craig R.,3,none
6,Ty,4,none
6,Chris N.,5,none
6,Kasey,0,none
6,Chris L.,1,none
6,Steve,2,none
6,Frank,3,none
6,Kasey,4,none
6,Kasey,5,none
6,Kyle,0,none
6,Kirk,1,none
6,Kirk,2,none
6,Jonathan,3,none
6,Jesse,4,none
6,Jonathan,4,none
6,Roberto,0,none
6,John C.,1,none
6,John C.,2,none
6,Justin,3,none
6,Craig M.,0,none
6,Chris N.,1,none
6,Craig R.,2,none
6,John C.,3,none
6,Steve,3,none
6,John N.,0,none
6,Chris H.,1,none
6,Chris N.,2,none
6,Tyler V.,0,none
6,Hunter,1,none
6,Jonathan,2,none
6,Hunter,3,none
6,John C.,0,none
6,Craig M.,1,none
6,Chris H.,2,none
6,Craig M.,2,none
6,Tyler V.,2,none
6,Jonathan,0,none
6,Jonathan,1,none
6,Craig R.,0,none
6,Kasey,1,none
6,Steve,0,none
6,Derek,1,none
6,Derrick,1,none
6,Jason,1,none
6,Jay,1,none
6,John N.,1,none
6,Kyle,1,none
6,Phil,1,none
6,Tyler M.,1,none
6,Kirk,0,none
6,Tyler M.,0,none
6,Hunter,0,none
6,Derek,0,none
6,Phil,0,none
6,Derrick,0,none
6,Jason,0,none
7,Ryan P.,0,none
7,Ryan P.,1,the contestant received a first impression rose
7,William,2,the contestant received a rose during the date
7,Ben C.,3,the contestant received a rose during the date
7,Constantine,4,the contestant received a rose during the date
7,Ben F.,5,the contestant received a rose during the date
7,Lucas,6,the contestant received a rose during the date
7,J.P.,7,the contestant received a rose during the date
7,Ben F.,8,none
7,Ben F.,9,none
7,J.P.,10,the contestant won the competition
7,Jon,0,none
7,Jeff,1,none
7,Bentley,2,the contestant received a rose during the date
7,Ryan P.,3,the contestant received a rose during the date
7,Ben F.,4,the contestant received a rose during the date
7,Blake,5,the contestant received a rose during the date
7,Ryan P.,6,the contestant received a rose during the date
7,Constantine,7,none
7,J.P.,8,none
7,J.P.,9,none
7,Ben F.,10,the contestant was eliminated
7,Lucas,0,none
7,Constantine,1,none
7,Mickey,2,the contestant received a rose during the date
7,J.P.,3,the contestant received a rose during the date
7,Ames,4,the contestant received a rose during the date
7,Constantine,5,none
7,J.P.,6,the contestant received a rose during the date
7,Ben F.,7,none
7,Constantine,8,none
7,Ryan P.,9,an eliminated contestant asks for a chance to return however was denied
7,William,0,none
7,Ben F.,1,none
7,West,2,none
7,Constantine,3,none
7,Lucas,4,none
7,Lucas,5,none
7,Ben F.,6,none
7,Ames,7,none
7,Ames,8,the contestant was eliminated
7,Constantine,9,the contestant quit the competition
7,Mickey,0,none
7,Lucas,1,none
7,Constantine,2,none
7,West,3,none
7,Ryan P.,4,none
7,J.P.,5,none
7,Constantine,6,none
7,Lucas,7,the contestant was eliminated
7,Tim,0,none
7,Stephen,1,none
7,Ryan P.,2,none
7,Mickey,3,none
7,J.P.,4,none
7,Ames,5,none
7,Ames,6,none
7,Ryan P.,7,the contestant was eliminated during the date
7,Ben C.,0,none
7,Matt,1,none
7,Ben C.,2,none
7,Ben F.,3,none
7,Nick,4,none
7,Mickey,5,none
7,Blake,6,the contestant was eliminated
7,Stephen,0,none
7,Nick,1,none
7,Nick,2,none
7,Blake,3,none
7,Mickey,4,none
7,Ryan P.,5,none
7,Mickey,6,the contestant quit the competition
7,Chris D.,0,none
7,Chris D.,1,none
7,Ames,2,none
7,Nick,3,none
7,Blake,4,none
7,Nick,5,the contestant was eliminated
7,Bentley,6,an eliminated contestant asks for a chance to return however was denied
7,West,0,none
7,Ryan M.,1,none
7,Lucas,2,none
7,Ames,3,none
7,William,4,none
7,William,5,the contestant was eliminated during the date
7,Anthony,0,none
7,Blake,1,none
7,Jeff,2,none
7,Lucas,3,none
7,Ben C.,4,none
7,Ben C.,5,the contestant was eliminated during the date
7,Rob,0,none
7,Mickey,1,none
7,J.P.,2,none
7,William,3,none
7,West,4,the contestant was eliminated
7,Ames,0,none
7,Ben C.,1,none
7,Chris D.,2,none
7,Chris D.,3,the contestant was eliminated
7,Jeff,3,the contestant was eliminated
7,Matt,0,none
7,West,1,none
7,Ben F.,2,none
7,Jeff,0,none
7,William,1,none
7,Blake,2,none
7,Bentley,3,the contestant quit the competition
7,Ben F.,0,none
7,J.P.,1,none
7,Matt,2,the contestant was eliminated
7,Ryan M.,2,the contestant was eliminated
7,Stephen,2,the contestant was eliminated
7,Frank,0,none
7,Ames,1,none
7,Michael,0,none
7,Bentley,1,none
7,Chris M.,0,none
7,Anthony,1,the contestant was eliminated
7,Chris M.,1,the contestant was eliminated
7,Frank,1,the contestant was eliminated
7,Jon,1,the contestant was eliminated
7,Michael,1,the contestant was eliminated
7,Rob,1,the contestant was eliminated
7,Ryan M.,0,none
7,J.P.,0,none
7,Nick,0,none
7,Blake,0,none
7,Bentley,0,none
7,Constantine,0,none
7,Tim,1,the contestant was eliminated outside the rose ceremony
8,Sean,0,none
8,Doug,1,the contestant was given the first impression rose
8,Ryan,2,the contestant was given a rose during the date
8,Chris,3,the contestant was given a rose during the date
8,Doug,4,the contestant was given a rose during the date
8,Sean,5,the contestant was given a rose during the date
8,Chris,6,the contestant was given a rose during the date
8,Sean,7,the contestant was given a rose during the date
8,Arie,8,none
8,Jef,9,none
8,Jef,10,the contestant won the competition
8,David,0,none
8,Chris,1,none
8,Jef,2,the contestant was given a rose during the date
8,Sean,3,the contestant was given a rose during the date
8,Jef,4,the contestant was given a rose during the date
8,Jef,5,the contestant was given a rose during the date
8,Sean,6,none
8,Jef,7,none
8,Jef,8,none
8,Arie,9,none
8,Arie,10,the contestant was eliminated during the date
8,Doug,0,none
8,Ryan,1,none
8,Kalon,2,none
8,Arie,3,the contestant was given a rose during the date
8,John,4,the contestant was given a rose during the date
8,Doug,5,none
8,Jef,6,none
8,Arie,7,none
8,Sean,8,none
8,Sean,9,the contestant was eliminated
8,Jackson,0,none
8,Kalon,1,none
8,Arie,2,none
8,Jef,3,none
8,Sean,4,none
8,Ryan,5,none
8,Arie,6,none
8,Chris,7,none
8,Chris,8,the contestant was eliminated
8,Joe,0,none
8,Arie,1,none
8,Michael,2,none
8,Charlie,3,none
8,Arie,4,none
8,Chris,5,none
8,Doug,6,the contestant was part of non-elimination bottom two
8,John,6,the contestant was part of non-elimination bottom two
8,John,7,the contestant was eliminated
8,Arie,0,none
8,Charlie,1,none
8,Nathan,2,none
8,Doug,3,none
8,Travis,4,none
8,John,5,none
8,Doug,6,the contestant was eliminated during the date
8,Kyle,0,none
8,Jef,1,none
8,Sean,2,none
8,Michael,3,none
8,Chris,4,none
8,Travis,5,none
8,Ryan,6,the contestant was eliminated during the date
8,Chris,0,none
8,Nathan,1,none
8,Chris,2,none
8,Travis,3,none
8,Ryan,4,none
8,Arie,5,none
8,Travis,6,the contestant was eliminated during the date
8,Aaron,0,none
8,Sean,1,none
8,Doug,2,none
8,Alejandro,3,none
8,Kalon,4,none
8,Alejandro,5,the contestant was eliminated
8,Alessandro,0,none
8,Joe,1,none
8,Travis,2,none
8,Ryan,3,none
8,Alejandro,4,none
8,Kalon,5,the contestant was eliminated during the date
8,Jef,0,none
8,Kyle,1,none
8,Tony,2,none
8,John,3,none
8,Charlie,4,the contestant was eliminated
8,Michael,4,the contestant was eliminated
8,Lerone,0,none
8,Aaron,1,none
8,John,2,none
8,Kalon,3,none
8,Stevie,0,none
8,Alejandro,1,none
8,Alessandro,2,none
8,Nathan,3,none
8,Nathan,4,the contestant was eliminated during the date
8,Charlie,0,none
8,John,1,none
8,Charlie,2,none
8,Stevie,3,the contestant was eliminated
8,Tony,0,none
8,Alessandro,1,none
8,Alejandro,2,none
8,Alessandro,3,the contestant was eliminated outside the rose ceremony
8,Randy,0,none
8,Michael,1,none
8,Stevie,2,none
8,Tony,3,the contestant was eliminated during the date
8,Nathan,0,none
8,Stevie,1,none
8,Aaron,2,the contestant was eliminated
8,Kyle,2,the contestant was eliminated
8,Brent,0,none
8,Tony,1,none
8,John,0,none
8,Travis,1,none
8,Joe,2,the contestant was eliminated during the date
8,Travis,0,none
8,Brent,1,the contestant was eliminated
8,David,1,the contestant was eliminated
8,Jackson,1,the contestant was eliminated
8,Jean-Paul,1,the contestant was eliminated
8,Lerone,1,the contestant was eliminated
8,Randy,1,the contestant was eliminated
8,Michael,0,none
8,Jean,0,none
8,Alejandro,0,none
8,Ryan,0,none
8,Kalon,0,none
9,Drew,0,none
9,Ben,1,the contestant received a first impression rose
9,Brooks,2,the contestant received a rose during the date
9,Chris,3,the contestant received a rose during the date
9,Zak W.,4,the contestant received a rose during the date
9,Chris,5,the contestant received a rose during the date
9,Drew,6,the contestant received a rose during the date
9,Drew,7,the contestant received a rose during the date
9,Brooks,8,none
9,Drew,9,none
9,Chris,10,the contestant won the competition
9,Brooks,0,none
9,Zak W.,1,the contestant received a rose in the first night
9,Ben,2,the contestant received a rose during the date
9,Kasey,3,the contestant received a rose during the date
9,James,4,the contestant received a rose during the date
9,Brooks,5,the contestant received a rose during the date
9,Zak W.,6,the contestant received a rose during the date
9,Brooks,7,none
9,Chris,8,none
9,Chris,9,none
9,Drew,10,the contestant was eliminated during the date
9,Brad,0,none
9,Bryden,1,the contestant received a rose in the first night
9,Bryden,2,the contestant received a rose during the date
9,James,3,the contestant received a rose during the date
9,Chris,4,none
9,Michael G.,5,the contestant received a rose during the date
9,Chris,6,none
9,Chris,7,none
9,Drew,8,none
9,Brooks,9,the contestant quit the competition
9,Bryden,0,none
9,Drew,1,the contestant received a rose in the first night
9,James,2,none
9,Bryden,3,none
9,Brooks,4,none
9,Zak W.,5,none
9,Brooks,6,none
9,Zak W.,7,none
9,Zak W.,8,the contestant was eliminated
9,Michael G.,0,none
9,Nick M.,1,the contestant received a rose in the first night
9,Kasey,2,none
9,Juan Pablo,3,none
9,Juan Pablo,4,none
9,Kasey,5,none
9,Michael G.,6,none
9,Michael G.,7,the contestant was eliminated
9,Kasey,0,none
9,Michael G.,1,the contestant received a rose in the first night
9,Dan,2,none
9,Zak W.,3,none
9,Drew,4,none
9,Juan Pablo,5,none
9,James,6,the contestant was eliminated
9,Juan Pablo,6,the contestant was eliminated
9,Kasey,6,the contestant was eliminated
9,Will,0,none
9,Brandon,1,none
9,Juan Pablo,2,none
9,Brooks,3,none
9,Michael G.,4,none
9,Drew,5,none
9,Mikey T.,0,none
9,Zack K.,1,none
9,Brad,2,none
9,Drew,3,none
9,Ben,4,none
9,James,5,none
9,Jonathan,0,none
9,Will,1,none
9,Chris,2,none
9,Zack K.,3,none
9,Kasey,4,none
9,Mikey T.,5,the contestant was eliminated
9,Zak W.,0,none
9,Brooks,1,none
9,Brian,2,none
9,Brad,3,none
9,Bryden,4,none
9,Ben,5,the contestant was eliminated during the date
9,James,0,none
9,Juan Pablo,1,none
9,Zak W.,2,none
9,Michael G.,3,none
9,Mikey T.,4,none
9,Bryden,5,the contestant quit the competition
9,Larry,0,none
9,Brad,1,none
9,Drew,2,none
9,Mikey T.,3,none
9,Zack K.,4,the contestant was eliminated
9,Nick R.,0,none
9,Kasey,1,none
9,Mikey T.,2,none
9,Ben,3,none
9,Brad,4,the contestant was eliminated during the date
9,Zack K.,0,none
9,James,1,none
9,Zack K.,2,none
9,Brandon,3,the contestant was eliminated
9,Dan,3,the contestant was eliminated
9,Diogo,0,none
9,Robert,1,none
9,Michael G.,2,none
9,Chris,0,none
9,Brian,1,none
9,Brandon,2,none
9,Brian,3,the contestant was disqualified from the competition
9,Mike R.,0,none
9,Dan,1,none
9,Nick M.,2,the contestant was eliminated
9,Robert,2,the contestant was eliminated
9,Will,2,the contestant was eliminated
9,Robert,0,none
9,Chris,1,none
9,Juan Pablo,0,none
9,Mikey T.,1,none
9,Brandon,0,none
9,Diogo,1,the contestant was eliminated
9,Larry,1,the contestant was eliminated
9,Micah,1,the contestant was eliminated
9,Mike R.,1,the contestant was eliminated
